room,day,time,occupied
B-5,We,08:40,true
B-5,Th,08:40,false
B-5,Fr,08:40,true
B-5,Sa,08:40,true
B-5,Su,08:40,false
B-5,Mo,09:00,true
B-5,Tu,09:00,false
B-5,We,09:00,true
B-5,Th,09:00,true
B-5,Fr,09:00,true
B-5,Sa,09:00,true
B-5,Su,09:00,false
B-5,Mo,09:20,true
B-5,Tu,09:20,true
B-5,We,09:20,true
B-5,Th,09:20,true
B-5,Fr,09:20,true
B-5,Sa,09:20,false
B-5,Su,09:20,false
B-5,Mo,09:40,true
B-5,Tu,09:40,true
B-5,We,09:40,true
B-5,Th,09:40,true
B-5,Fr,09:40,true
B-5,Sa,09:40,false
B-5,Su,09:40,false
B-5,Mo,10:00,true
B-5,Tu,10:00,true
B-5,We,10:00,true
B-5,Th,10:00,true
B-5,Fr,10:00,true
B-5,Sa,10:00,true
B-5,Su,10:00,false
B-5,Mo,10:20,true
B-5,Tu,10:20,true
B-5,We,10:20,true
B-5,Th,10:20,true
B-5,Fr,10:20,true
B-5,Sa,10:20,true
B-5,Su,10:20,false
B-5,Mo,10:40,true
B-5,Tu,10:40,false
B-5,We,10:40,true
B-5,Th,10:40,true
B-5,Fr,10:40,true
B-5,Sa,10:40,true
B-5,Su,10:40,false
B-5,Mo,11:00,true
B-5,Tu,11:00,true
B-5,We,11:00,true
B-5,Th,11:00,true
B-5,Fr,11:00,false
B-5,Sa,11:00,true
B-5,Su,11:00,false
B-5,Mo,11:20,true
B-5,Tu,11:20,true
